,day,process,process_id,father,father_id,uid,ocurrences
4290,8,mpstat,8231,monitoramento-c,8230,0,1
4291,8,free,8237,monitoramento-m,8228,0,1
4292,8,ps,8274,monitoramento-d,8272,0,1
4293,8,VBoxManage,8059,workload.sh,1281,0,4
4294,8,ps,8653,monitoramento-d,8652,0,1
4295,8,pidof,8774,monitoramento-V,1280,0,1
4296,8,pidof,8953,monitoramento-V,1279,0,1
4297,8,ps,8984,monitoramento-d,8983,0,1
4298,8,ps,9203,monitoramento-d,9202,0,1
4299,8,monitoramento-z,9367,monitoramento-z,1276,0,1
4300,8,"Processo,ps",9781,monitoramento-d,9780,0,1
4301,8,cat,9785,monitoramento-m,9784,0,1
4302,8,ps,9763,monitoramento-z,9762,0,1
4303,8,apt-get,28645,apt.systemd.dai,28463,0,15
4304,8,ps,9948,monitoramento-z,9947,0,1
4305,8,gmain,380,systemd,1,0,5
4306,8,ps,10146,monitoramento-d,10145,0,1
4307,8,VBoxManage,8059,workload.sh,1281,0,1
4308,8,ps,10316,monitoramento-z,10315,0,1
4309,8,nspr-1,1230,nspr-2,1215,0,1
4310,8,ps,10669,monitoramento-z,10668,0,1
4311,8,pidstat,10688,monitoramento-V,10685,0,1
4312,8,ps,10709,monitoramento-d,10708,0,1
4313,8,systemd,1,swapper,,0(0),0
4314,8,ps,10847,monitoramento-z,10846,0,1
4315,8,pidof,11022,monitoramento-V,1279,0,1
4316,8,ps,11036,monitoramento-z,11035,0,1
4317,8,ifconfig,11069,monitoramento-n,11068,0,1
4318,8,ps,11076,monitoramento-d,11073,0,1
4319,8,VBoxManage,11007,workload.sh,1281,0,5
4320,8,pidof,11207,monitoramento-V,1279,0,1
4321,8,ps,11234,monitoramento-z,11233,0,1
4322,8,pidof,11555,monitoramento-V,1278,0,1
4323,8,free,11563,monitoramento-m,11562,0,1
4324,8,ps,11606,monitoramento-z,11602,0,1
4325,8,cut,11718,monitoramento-z,11714,0,1
4326,8,ps,11893,monitoramento-z,11892,0,1
4327,8,systemd-journal,198,systemd,1,0,1
4328,8,ps,12032,monitoramento-z,12031,0,1
4329,8,ps,12072,monitoramento-d,12071,0,2
4330,8,ps,12169,monitoramento-z,12168,0,2
4331,8,ps,12191,monitoramento-d,12190,0,1
4332,8,pidof,12281,monitoramento-V,1280,0,1
4333,8,awk,12290,monitoramento-n,12286,0,1
4334,8,ps,12328,monitoramento-z,12326,0,1
4335,8,ifconfig,12463,monitoramento-n,12462,0,1
4336,8,ps,12593,monitoramento-d,12592,0,1
4337,8,sleep,12609,monitoramento-n,1277,0,1
4338,8,pidof,12978,monitoramento-V,1278,0,1
4339,8,pidof,13137,monitoramento-V,1278,0,1
4340,8,pidof,13313,monitoramento-V,1279,0,1
4341,8,sed,13377,monitoramento-m,13374,0,1
4342,8,ps,13348,monitoramento-z,13347,0,1
4343,8,pidof,13673,monitoramento-V,1280,0,1
4344,8,free,13677,monitoramento-m,13669,0,1
4345,8,lsmod,13849,vboxmanage,13847,0,1
4346,8,VBoxManage,13847,workload.sh,1281,0,2
4347,8,pidof,14046,monitoramento-V,1278,0,1
4348,8,ps,14320,monitoramento-d,14318,0,1
4349,8,monitoramento-m,14396,monitoramento-m,1275,0,1
4350,8,pidof,14582,monitoramento-V,1279,0,1
4351,8,free,14584,monitoramento-m,14583,0,1
4352,8,ps,14673,monitoramento-z,14672,0,1
4353,8,pidof,14934,monitoramento-V,1278,0,1
4354,8,monitoramento-c,14930,monitoramento-c,1273,0,1
4355,8,ps,14988,monitoramento-d,14986,0,1
4356,8,pidof,15115,monitoramento-V,1278,0,1
4357,8,ps,15296,monitoramento-z,15295,0,1
4358,8,pidof,15479,monitoramento-V,1279,0,1
4359,8,VBoxManage,15508,workload.sh,1281,0,2
4360,8,ps,15674,monitoramento-z,15673,0,1
4361,8,pidof,15853,monitoramento-V,1279,0,1
4362,8,EMT,1230,nspr-2,1215,0,1
4363,8,ps,15881,monitoramento-d,15880,0,1
4364,8,pidof,16205,monitoramento-V,1279,0,1
4365,8,free,16207,monitoramento-m,16206,0,1
4366,8,ps,16254,monitoramento-z,16253,0,1
4367,8,ps,16491,monitoramento-z,16490,0,1
4368,8,pidof,16722,monitoramento-V,1279,0,1
4369,8,ps,16946,monitoramento-d,16945,0,1
4370,8,pidof,17249,monitoramento-V,1278,0,1
4371,8,ps,17262,monitoramento-z,17261,0,1
4372,8,ps,17367,monitoramento-d,17366,0,1
4373,8,ps,17488,monitoramento-d,17487,0,1
4374,8,pidof,17604,monitoramento-V,1279,0,2
4375,8,pidof,17785,monitoramento-V,1280,0,1
4376,8,monitoramento-c,17798,monitoramento-c,17797,0,1
4377,8,ps,17924,monitoramento-z,17923,0,1
4378,8,monitoramento-d,17953,monitoramento-d,17951,0,1
4379,8,pidof,17966,monitoramento-V,1280,0,1
4380,8,pidof,18185,monitoramento-V,1278,0,1
4381,8,pool,375,systemd,1,0,1
4382,8,ps,18508,monitoramento-z,18507,0,1
4383,8,monitoramento-c,1273,bash,1263,0,1
4384,8,pidof,18673,monitoramento-V,1279,0,1
4385,8,pidstat,18687,monitoramento-V,18683,0,1
4386,8,ps,18825,monitoramento-z,18824,0,1
4387,8,awk,19015,monitoramento-z,19013,0,1
4388,8,ps,19193,monitoramento-z,19190,0,1
4389,8,VBoxManage,17772,workload.sh,1281,0,1
4390,8,pidof,19528,monitoramento-V,1278,0,1
4391,8,wc,19544,monitoramento-z,19541,0,1
4392,8,ps,19740,monitoramento-d,19739,0,1
4393,8,pidof,19880,monitoramento-V,1280,0,1
4394,8,ps,19937,monitoramento-d,19934,0,1
4395,8,ps,20078,monitoramento-z,20077,0,1
4396,8,ps,20125,monitoramento-d,20123,0,1
4397,8,VBoxSVCWatcher,17772,workload.sh,1281,0,1
4398,8,pidof,20430,monitoramento-V,1279,0,1
4399,8,monitoramento-z,1276,bash,1263,0,1
4400,8,"Processo,pidof",20607,monitoramento-V,1279,0,1
4401,8,ps,20620,monitoramento-z,20619,0,1
4402,8,pidof,20823,monitoramento-V,1279,0,1
4403,8,udisksd,375,systemd,1,0,1
4404,8,ps,20793,monitoramento-z,20792,0,1
4405,8,apt-get,28645,apt.systemd.dai,28463,0,15
4406,8,ps,20987,monitoramento-z,20986,0,1
4407,8,cron,20962,cron,386,0,1
4408,8,ps,21159,monitoramento-z,21158,0,1
4409,8,monitoramento-m,21272,monitoramento-m,21270,0,1
4410,8,pidof,21309,monitoramento-V,1278,0,1
4411,8,ps,21764,monitoramento-d,21763,0,1
4412,8,awk,21765,monitoramento-d,21763,0,1
4413,8,ps,21784,monitoramento-z,21783,0,1
4414,8,wpa_supplicant,387,systemd,1,0,1
4415,8,ps,22135,monitoramento-d,22134,0,1
4416,8,monitoramento-V,22162,monitoramento-V,1279,0,1
4417,8,pidof,22325,monitoramento-V,1278,0,1
4418,8,nspr-6,1215,systemd,1,0,2
4419,8,ps,22505,monitoramento-z,22504,0,1
4420,8,monitoramento-V,1280,bash,1263,0,1
4421,8,pidof,22666,monitoramento-V,1278,0,1
4422,8,df,22657,monitoramento-d,22656,0,1
4423,8,ps,22669,monitoramento-z,22668,0,2
4424,8,systemd,1,swapper,,0(0),0
4425,8,ps,22891,monitoramento-d,22890,0,1
4426,8,EMT,1230,nspr-2,1215,0,6
